 Jul-31-2021 22:18:31: Path: /restaurants/ad, CastError: Cast to ObjectId failed for value "ad" (type string) at path "_id" for model "RestaruntsModal"
 Jul-31-2021 22:19:12: Path: /restaurants/60fea0d36423db7aa4440b2, CastError: Cast to ObjectId failed for value "60fea0d36423db7aa4440b2" (type string) at path "_id" for model "RestaruntsModal"
 Jul-31-2021 22:37:20: Path: /restaurants/, SyntaxError: Unexpected token l in JSON at position 93
 Jul-31-2021 22:44:23: Path: /restaurants/60fea0d36423db7aa4440b23, SyntaxError: Unexpected token } in JSON at position 50
 Jul-31-2021 22:56:09: Path: /restaurants/filter, ReferenceError: cuisine is not defined
 Jul-31-2021 23:32:51: Path: /restaurants/, ObjectParameterError: Parameter "obj" to Document() must be an object, got Daal
 Aug-01-2021 12:18:37: Path: /restaurants/, SyntaxError: Unexpected token } in JSON at position 74
 Aug-01-2021 12:20:48: Path: /restaurants/, SyntaxError: Unexpected token m in JSON at position 123
 Aug-01-2021 12:20:58: Path: /restaurants/, SyntaxError: Unexpected string in JSON at position 123
 Aug-01-2021 12:22:28: Path: /restaurants/, SyntaxError: Unexpected token n in JSON at position 133
 Aug-01-2021 21:00:10: Path: /restaurants/filters, CastError: Cast to ObjectId failed for value "filters" (type string) at path "_id" for model "RestaruntsModal"
 Aug-01-2021 21:00:40: Path: /restaurants/filter, CastError: Cast to ObjectId failed for value "filter" (type string) at path "_id" for model "RestaruntsModal"
 Aug-01-2021 21:09:07: Path: /restaurants/60fea0d36423db7aa4440b, CastError: Cast to ObjectId failed for value "60fea0d36423db7aa4440b" (type string) at path "_id" for model "RestaruntsModal"
 Aug-01-2021 21:10:51: Path: /restaurants/60fea0d36423db7aa4440b, CastError: Cast to ObjectId failed for value "60fea0d36423db7aa4440b" (type string) at path "_id" for model "RestaruntsModal"
 Aug-01-2021 21:11:16: Path: /restaurants/60fea0d36423db7aa4440b29, ReferenceError: restaurant is not defined
 Aug-01-2021 21:21:22: Path: /restaurants/60fea0d36423db7aa444, CastError: Cast to ObjectId failed for value "60fea0d36423db7aa444" (type string) at path "_id" for model "RestaruntsModal"
 Aug-01-2021 21:21:33: Path: /restaurants/60fea0d36423db7aa444, CastError: Cast to ObjectId failed for value "60fea0d36423db7aa444" (type string) at path "_id" for model "RestaruntsModal"
 Aug-01-2021 21:24:51: Path: /restaurants/60fea0d36423db7aa444, CastError: Cast to ObjectId failed for value "60fea0d36423db7aa444" (type string) at path "_id" for model "RestaruntsModal"
 Aug-01-2021 22:05:33: Path: /restaurants/60fea0d36423db7aa444, CastError: Cast to ObjectId failed for value "60fea0d36423db7aa444" (type string) at path "_id" for model "RestaruntsModal"
 Aug-02-2021 14:42:26: Path: /restaurants/60fea0d36423db7aa444, CastError: Cast to ObjectId failed for value "60fea0d36423db7aa444" (type string) at path "_id" for model "RestaruntsModal"
 Aug-02-2021 15:27:59: Path: /restaurants/60fea0d36423db7aa4440b29, TypeError: Cannot read property 'length' of null
 Aug-02-2021 15:28:51: Path: /restaurants/60fea0d36423db7aa4440b29, TypeError: Cannot read property 'length' of null
 Aug-02-2021 15:35:16: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 15:50:27: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 15:51:08: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 15:55:05: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 15:55:51: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 15:56:25: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 15:56:57: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 15:57:54: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 15:58:27: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:28:43: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:29:03: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:30:34: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:30:58: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:31:21: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:32:33: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:36:34: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:37:37: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:41:28: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:41:46: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:42:28: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:42:51: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:44:04: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:44:47: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:45:25: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:46:09: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:46:55: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:47:30: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:48:41: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:49:55: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 16:50:18: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 17:07:00: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 17:09:08: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-02-2021 17:18:13: Path: /restaurants/60fea0d36423db7aa4440b, CastError: Cast to ObjectId failed for value "60fea0d36423db7aa4440b" (type string) at path "_id" for model "RestaruntsModal"
 Aug-03-2021 15:13:40: Path: /restaurants/asd, CastError: Cast to ObjectId failed for value "asd" (type string) at path "_id" for model "RestaruntsModal"
 Aug-03-2021 16:22:31: Path: /restaurants/60ffd0a6f2c054205ebe86c8, TypeError: Cannot read property 'get' of undefined
 Aug-03-2021 16:40:07: node_redis: The GET command contains a invalid argument type of "undefined".
Only strings, dates and buffers are accepted. Please update your code to use valid argument types.
 Aug-03-2021 16:50:36: Path: /restaurants/60ffd0a6f2c054205ebe86c8, ReferenceError: redisKey is not defined
 Aug-03-2021 16:51:01: Path: /restaurants/60ffd0a6f2c054205ebe86c8, TypeError: client.setEx is not a function
 Aug-03-2021 17:14:33: Path: /restaurants/60fea0d36423db7aa4440b23, SyntaxError: Unexpected token n in JSON at position 4
 Aug-03-2021 17:14:43: Path: /restaurants/60fea0d36423db7aa4440b23, SyntaxError: Unexpected token 
 in JSON at position 42
 Aug-03-2021 17:14:53: Path: /restaurants/60fea0d36423db7aa4440b23, TypeError: invalidateRedisCache is not a function
 Aug-03-2021 17:32:01: connect ECONNREFUSED 127.0.0.1:5672
 Aug-04-2021 14:49:28: Path: /restaurants/60fea0d36423db7aa4440b23, TypeError: Cannot read property 'get' of null
 Aug-04-2021 14:50:38: Path: /restaurants/60fea0d36423db7aa4440b23, ReferenceError: id is not defined
 Aug-04-2021 14:54:17: Path: /restaurants/60fea0d36423db7aa4440b23, TypeError: Cannot read property 'conencted' of null
 Aug-04-2021 14:54:46: Path: /restaurants/60fea0d36423db7aa4440b23, TypeError: Cannot read property 'get' of null
 Aug-04-2021 14:55:50: Path: /restaurants/60fea0d36423db7aa4440b23, TypeError: Cannot read property 'get' of null
 Aug-04-2021 14:56:39: Path: /restaurants/60fea0d36423db7aa4440b23, ReferenceError: next is not defined
 Aug-04-2021 14:58:01: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-04-2021 15:00:08: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-04-2021 15:00:31: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-04-2021 15:00:50: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-04-2021 15:01:10: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-04-2021 15:03:57: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-04-2021 15:13:05: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-04-2021 15:14:47: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379
 Aug-04-2021 15:14:47: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379
 Aug-04-2021 15:14:48: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379
 Aug-04-2021 15:14:48: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379
 Aug-04-2021 15:14:49: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379
 Aug-04-2021 15:14:51: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379
 Aug-04-2021 15:14:54: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379
 Aug-04-2021 15:18:48: Redis connection in broken state: retry aborted.
 Aug-04-2021 15:19:24: Redis connection in broken state: retry aborted.
 Aug-04-2021 15:20:37: Redis connection in broken state: retry aborted.
 Aug-05-2021 14:09:07: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-05-2021 14:11:30: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-05-2021 14:11:46: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-05-2021 14:12:10: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-05-2021 14:12:26: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-05-2021 14:12:36: Path: /restaurants/60fea0d36423db7aa4440b29, MongooseError: Operation `restaurants.find()` buffering timed out after 10000ms
 Aug-05-2021 14:13:50: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-05-2021 14:15:36: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-05-2021 14:15:46: Path: /restaurants, MongooseError: Operation `restaurants.count()` buffering timed out after 10000ms
 Aug-05-2021 14:18:07: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
